yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetypeid,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,topicid,questionid,responseid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,21.9,21.9,,,20.4,23.5,Overall,Overall,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,OVERALL,OVR,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,22.5,22.5,,,21.1,24,Overall,Overall,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,OVERALL,OVR,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,19.4,19.4,,,17.3,21.6,Gender,Male,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,GENDER,GENM,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,19.9,19.9,,,18,22,Gender,Male,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,GENDER,GENM,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,24.7,24.7,,,22.5,27.1,Gender,Female,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,GENDER,GENF,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,25.2,25.2,,,23.2,27.4,Gender,Female,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,GENDER,GENF,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,22.7,22.7,,,21,24.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,WHT,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,21.8,21.8,,,20.2,23.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,WHT,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,BLK,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,BLK,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,16.9,16.9,,,10.7,25.6,Race/Ethnicity,Hispanic,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,HIS,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,23.5,23.5,,,16.3,32.7,Race/Ethnicity,Hispanic,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,HIS,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,20.6,20.6,,,16.9,24.8,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,OTH,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,23.9,23.9,,,20.3,28.1,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,OTH,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,22.9,22.9,,,16.3,31.2,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,MRC,,,,
2014,2014,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,34.2,34.2,,,25.5,44,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,RACE,MRC,,,,
2013,2013,AK,Alaska,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,22.7,22.7,,,21.1,24.4,Overall,Overall,,,,,POINT(-147.72205903599973 64.84507995700051),ART,ART1_1,,02,OVERALL,OVR,,,,
