YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2013,2013,IL,Illinois,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,,17,ALC,ALC1_1,CRDPREV,RACE,AIAN,,,,
2017,2017,ME,Maine,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,22.2,22.2,,,20.8,23.7,Race/Ethnicity,"White, non-Hispanic",,,,,,23,ALC,ALC1_1,CRDPREV,RACE,WHT,,,,
2013,2013,OH,Ohio,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,32.2,32.2,,,25.6,39.5,Gender,Male,,,,,,39,ALC,ALC1_1,CRDPREV,GENDER,GENM,,,,
2019,2019,US,United States,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,13.9,13.9,,,10.4,18.4,Race/Ethnicity,"Asian, non-Hispanic",,,,,,59,ALC,ALC1_1,CRDPREV,RACE,ASN,,,,
2013,2013,MT,Montana,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,37.4,37.4,,,34.8,40.1,Race/Ethnicity,"White, non-Hispanic",,,,,,30,ALC,ALC1_1,CRDPREV,RACE,WHT,,,,
2015,2015,TN,Tennessee,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Gender,Male,,,,,,47,ALC,ALC1_1,CRDPREV,GENDER,GENM,,,,
2019,2019,RI,Rhode Island,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,22.5,22.5,,,18.5,27,Gender,Female,,,,,,44,ALC,ALC1_1,CRDPREV,GENDER,GENF,,,,
2013,2013,MA,Massachusetts,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,37.4,37.4,,,31.8,43.4,Race/Ethnicity,Hispanic,,,,,,25,ALC,ALC1_1,CRDPREV,RACE,HIS,,,,
2017,2017,WV,West Virginia,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,54,ALC,ALC1_1,CRDPREV,RACE,BLK,,,,
2017,2017,OH,Ohio,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,,39,ALC,ALC1_1,CRDPREV,RACE,HIS,,,,
2017,2017,VA,Virginia,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,9.3,9.3,,,5.2,16.1,Race/Ethnicity,"Asian, non-Hispanic",,,,,,51,ALC,ALC1_1,CRDPREV,RACE,ASN,,,,
2019,2019,OR,Oregon,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,Hispanic,,,,,,41,ALC,ALC1_1,CRDPREV,RACE,HIS,,,,
2017,2017,ID,Idaho,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,,16,ALC,ALC1_1,CRDPREV,RACE,AIAN,,,,
2019,2019,MS,Mississippi,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,,28,ALC,ALC1_1,CRDPREV,RACE,AIAN,,,,
2019,2019,PR,Puerto Rico,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,28.6,28.6,,,24.5,33.1,Gender,Female,,,,,,72,ALC,ALC1_1,CRDPREV,GENDER,GENF,,,,
2015,2015,CT,Connecticut,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,,09,ALC,ALC1_1,CRDPREV,RACE,AIAN,,,,
