YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2018,2018,US,United States,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,39.2,39.2,,,35.2,43.2,Gender,Male,,,,,,59,DIS,DIS1_0,CRDPREV,GENDER,GENM,,,,
2016,2016,OR,Oregon,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,38.0,38,,,36.6,39.4,Gender,Male,,,,,,41,DIS,DIS1_0,CRDPREV,GENDER,GENM,,,,
2019,2019,OR,Oregon,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,39.5,39.5,,,33.3,45.6,Race/Ethnicity,Hispanic,,,,,,41,DIS,DIS1_0,CRDPREV,RACE,HIS,,,,
2016,2016,TN,Tennessee,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,38.3,38.3,,,37.7,38.9,Overall,Overall,,,,,,47,DIS,DIS1_0,CRDPREV,OVERALL,OVR,,,,
2016,2016,SC,South Carolina,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,36.8,36.8,,,35.5,38,Gender,Female,,,,,,45,DIS,DIS1_0,CRDPREV,GENDER,GENF,,,,
2010,2010,CT,Connecticut,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,34.7,34.7,,,33.3,36,Gender,Female,,,,,,09,DIS,DIS1_0,CRDPREV,GENDER,GENF,,,,
2016,2016,PA,Pennsylvania,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,34.9,34.9,,,34.3,35.5,Gender,Female,,,,,,42,DIS,DIS1_0,CRDPREV,GENDER,GENF,,,,
2016,2016,PR,Puerto Rico,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,,72,DIS,DIS1_0,CRDPREV,RACE,ASN,,,,
2010,2010,SD,South Dakota,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic,,,,,,46,DIS,DIS1_0,CRDPREV,RACE,HIS,,,,
2013,2013,AZ,Arizona,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,39.6,39.6,,,33.4,45.8,Race/Ethnicity,"Black, non-Hispanic",,,,,,04,DIS,DIS1_0,CRDPREV,RACE,BLK,,,,
2017,2017,AK,Alaska,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,55.8,55.8,,,50.1,61.5,Race/Ethnicity,American Indian or Alaska Native,,,,,,02,DIS,DIS1_0,CRDPREV,RACE,AIAN,,,,
2014,2014,VA,Virginia,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,28.8,28.8,,,25.8,31.8,Race/Ethnicity,"Asian, non-Hispanic",,,,,,51,DIS,DIS1_0,CRDPREV,RACE,ASN,,,,
2015,2015,KY,Kentucky,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,,21,DIS,DIS1_0,CRDPREV,RACE,ASN,,,,
2017,2017,ME,Maine,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,,23,DIS,DIS1_0,CRDPREV,RACE,HIS,,,,
