YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2011,2011,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,43.1,43.1,,,37.4,48.9,Race/Ethnicity,"Other, non-Hispanic",,,,,,02,IMM,IMM1_0,AGEADJPREV,RACE,OTH,,,,
2019,2019,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,34.6,34.6,,,31,38.4,Gender,Male,,,,,,02,IMM,IMM1_0,AGEADJPREV,GENDER,GENM,,,,
2017,2017,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,36.6,36.6,,,32.6,40.9,Gender,Female,,,,,,02,IMM,IMM1_0,AGEADJPREV,GENDER,GENF,,,,
2013,2013,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,37.2,37.2,,,32.1,42.7,Race/Ethnicity,"Other, non-Hispanic",,,,,,02,IMM,IMM1_0,AGEADJPREV,RACE,OTH,,,,
2019,2019,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,33.5,33.5,,,20.6,49.4,Race/Ethnicity,Hispanic,,,,,,02,IMM,IMM1_0,AGEADJPREV,RACE,HIS,,,,
2019,2019,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,39.8,39.8,,,35.6,44.1,Gender,Female,,,,,,02,IMM,IMM1_0,AGEADJPREV,GENDER,GENF,,,,
2021,2021,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,41.1,41.1,,,38.7,43.5,Race/Ethnicity,"White, non-Hispanic",,,,,,02,IMM,IMM1_0,AGEADJPREV,RACE,WHT,,,,
2016,2016,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,34.6,34.6,,,31.4,37.9,Race/Ethnicity,"White, non-Hispanic",,,,,,02,IMM,IMM1_0,AGEADJPREV,RACE,WHT,,,,
2021,2021,AL,Alabama,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,34.9,34.9,,,24.4,47,Race/Ethnicity,"Other, non-Hispanic",,,,,,01,IMM,IMM1_0,AGEADJPREV,RACE,OTH,,,,
2012,2012,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,32.3,32.3,,,22,44.6,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,02,IMM,IMM1_0,CRDPREV,RACE,MRC,,,,
2014,2014,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,37.3,37.3,,,27.8,47.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,02,IMM,IMM1_0,CRDPREV,RACE,MRC,,,,
2013,2013,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,36.2,36.2,,,25.8,48.1,Race/Ethnicity,Hispanic,,,,,,02,IMM,IMM1_0,CRDPREV,RACE,HIS,,,,
2018,2018,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,23.5,23.5,,,14.7,35.4,Race/Ethnicity,Hispanic,,,,,,02,IMM,IMM1_0,CRDPREV,RACE,HIS,,,,
2015,2015,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,36.6,36.6,,,25.8,48.9,Race/Ethnicity,Hispanic,,,,,,02,IMM,IMM1_0,AGEADJPREV,RACE,HIS,,,,
2021,2021,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,40.2,40.2,,,35.2,45.6,Race/Ethnicity,"Other, non-Hispanic",,,,,,02,IMM,IMM1_0,AGEADJPREV,RACE,OTH,,,,
2018,2018,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,36.4,36.4,,,32.8,40.2,Gender,Female,,,,,,02,IMM,IMM1_0,CRDPREV,GENDER,GENF,,,,
2017,2017,AK,Alaska,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,32.9,32.9,,,29.1,36.9,Gender,Male,,,,,,02,IMM,IMM1_0,AGEADJPREV,GENDER,GENM,,,,
