YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2012,2012,US,United States,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,33.1,33.1,,,32.3,33.9,Overall,Overall,,,,,,59,RPH,RPH3_0,CRDPREV,OVERALL,OVR,,,,
2012,2012,GU,Guam,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,66,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2018,2018,US,United States,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,86.3,86.3,,,85,87.4,Race/Ethnicity,Hispanic,,,,,,59,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2020,2020,PR,Puerto Rico,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,72,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2017,2017,CO,Colorado,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,36.7,36.7,,,33.7,39.8,Overall,Overall,,,,,,08,RPH,RPH3_0,CRDPREV,OVERALL,OVR,,,,
2020,2020,MD,Maryland,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,94.4,94.4,,,85,98,Race/Ethnicity,Asian or Pacific Islander,,,,,,24,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2019,2019,NM,New Mexico,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,35,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2012,2012,AR,Arkansas,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,,05,RPH,RPH3_0,CRDPREV,RACE,AIAN,,,,
2018,2018,ME,Maine,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,23,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2018,2018,MS,Mississippi,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,28,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
